Saka,Bukayo,Arsenal
DF,FW,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.21,47
NON_PEN_XG,0.22,59
TOTAL_SHOTS,2.07,56
ASSISTS,0.23,68
XA,0.20,66
NON_PEN_XG+XA,0.43,62
SHOT_CREATIONS,3.85,75
PASSES_ATTEMPTED,39.08,51
PASS_COMPLETION_PERCENTAGE,77.1,56
PROGRESSIVE_PASSES,2.01,14
PROGRESSIVE CARRIES,7.65,78
DRIBBLES_COMPLETED,1.58,49
TOUCHES_IN_AREA,5.58,81
PROGRESSIVE_PASSES_RECIEVED,7.67,77
PRESSURES,13.90,31
TACKLES,1.21,37
INTERCEPTIONS,0.98,59
BLOCKS,1.14,46
CLEARANCES,0.72,74
AERIAL_DUELS_WON,0.49,32
