Tomiyasu,Takehiro,Arsenal
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,69
NON_PEN_XG,0.04,52
TOTAL_SHOTS,0.66,59
ASSISTS,0.03,20
XA,0.03,10
NON_PEN_XG+XA,0.07,17
SHOT_CREATIONS,1.25,24
PASSES_ATTEMPTED,57.71,71
PASS_COMPLETION_PERCENTAGE,81.0,72
PROGRESSIVE_PASSES,3.50,47
PROGRESSIVE CARRIES,4.10,38
DRIBBLES_COMPLETED,0.56,32
TOUCHES_IN_AREA,1.03,35
PROGRESSIVE_PASSES_RECIEVED,1.06,13
PRESSURES,11.61,34
TACKLES,1.72,30
INTERCEPTIONS,1.85,69
BLOCKS,1.82,47
CLEARANCES,3.54,93
AERIAL_DUELS_WON,3.22,99
