Partey,Thomas,Arsenal
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,33
NON_PEN_XG,0.07,63
TOTAL_SHOTS,1.59,87
ASSISTS,0.10,67
XA,0.06,42
NON_PEN_XG+XA,0.13,48
SHOT_CREATIONS,2.04,62
PASSES_ATTEMPTED,59.15,73
PASS_COMPLETION_PERCENTAGE,86.6,72
PROGRESSIVE_PASSES,5.57,85
PROGRESSIVE CARRIES,5.67,84
DRIBBLES_COMPLETED,1.10,74
TOUCHES_IN_AREA,0.65,22
PROGRESSIVE_PASSES_RECIEVED,0.65,7
PRESSURES,14.45,15
TACKLES,2.56,68
INTERCEPTIONS,1.49,41
BLOCKS,1.81,72
CLEARANCES,1.78,70
AERIAL_DUELS_WON,1.36,57
