Luiz,Douglas,Aston Villa
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.04,32
TOTAL_SHOTS,0.76,37
ASSISTS,0.12,76
XA,0.07,55
NON_PEN_XG+XA,0.12,39
SHOT_CREATIONS,1.73,46
PASSES_ATTEMPTED,44.85,33
PASS_COMPLETION_PERCENTAGE,83.2,45
PROGRESSIVE_PASSES,3.27,36
PROGRESSIVE CARRIES,3.09,31
DRIBBLES_COMPLETED,0.73,46
TOUCHES_IN_AREA,0.61,19
PROGRESSIVE_PASSES_RECIEVED,1.24,32
PRESSURES,19.85,68
TACKLES,2.21,50
INTERCEPTIONS,1.85,70
BLOCKS,2.00,84
CLEARANCES,1.48,49
AERIAL_DUELS_WON,1.30,54
