Buendía,Emi,Aston Villa
AM,RAM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,16
NON_PEN_XG,0.12,14
TOTAL_SHOTS,1.41,17
ASSISTS,0.20,57
XA,0.18,57
NON_PEN_XG+XA,0.30,26
SHOT_CREATIONS,3.13,47
PASSES_ATTEMPTED,38.14,47
PASS_COMPLETION_PERCENTAGE,76.7,53
PROGRESSIVE_PASSES,4.54,82
PROGRESSIVE CARRIES,4.54,17
DRIBBLES_COMPLETED,1.21,28
TOUCHES_IN_AREA,2.62,16
PROGRESSIVE_PASSES_RECIEVED,5.25,29
PRESSURES,20.89,86
TACKLES,2.42,95
INTERCEPTIONS,0.81,41
BLOCKS,0.91,20
CLEARANCES,0.30,21
AERIAL_DUELS_WON,1.01,75
