Guilbert,Frederic,Aston Villa
RB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,53
NON_PEN_XG,0.04,55
TOTAL_SHOTS,1.04,86
ASSISTS,0.28,97
XA,0.10,64
NON_PEN_XG+XA,0.14,59
SHOT_CREATIONS,2.40,84
PASSES_ATTEMPTED,52.73,52
PASS_COMPLETION_PERCENTAGE,68.8,6
PROGRESSIVE_PASSES,3.40,44
PROGRESSIVE CARRIES,4.67,56
DRIBBLES_COMPLETED,1.72,92
TOUCHES_IN_AREA,0.56,10
PROGRESSIVE_PASSES_RECIEVED,2.08,51
PRESSURES,16.98,89
TACKLES,3.04,89
INTERCEPTIONS,2.52,96
BLOCKS,2.20,76
CLEARANCES,2.20,41
AERIAL_DUELS_WON,1.24,53
