Ajer,Kristoffer,Brentford
DF,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.03,29
TOTAL_SHOTS,0.32,20
ASSISTS,0.00,28
XA,0.05,96
NON_PEN_XG+XA,0.08,73
SHOT_CREATIONS,0.96,87
PASSES_ATTEMPTED,33.29,4
PASS_COMPLETION_PERCENTAGE,65.1,1
PROGRESSIVE_PASSES,1.91,20
PROGRESSIVE CARRIES,2.39,44
DRIBBLES_COMPLETED,0.64,94
TOUCHES_IN_AREA,1.43,94
PROGRESSIVE_PASSES_RECIEVED,1.12,97
PRESSURES,9.08,55
TACKLES,1.75,68
INTERCEPTIONS,2.07,74
BLOCKS,1.43,26
CLEARANCES,5.58,69
AERIAL_DUELS_WON,3.35,80
