Canós,Sergi,Brentford
AM,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.15,93
NON_PEN_XG,0.13,98
TOTAL_SHOTS,1.48,96
ASSISTS,0.15,79
XA,0.09,58
NON_PEN_XG+XA,0.22,86
SHOT_CREATIONS,1.77,57
PASSES_ATTEMPTED,33.57,1
PASS_COMPLETION_PERCENTAGE,58.2,1
PROGRESSIVE_PASSES,4.13,68
PROGRESSIVE CARRIES,5.61,72
DRIBBLES_COMPLETED,0.96,63
TOUCHES_IN_AREA,2.73,87
PROGRESSIVE_PASSES_RECIEVED,2.43,65
PRESSURES,20.66,99
TACKLES,2.73,82
INTERCEPTIONS,1.33,27
BLOCKS,1.84,50
CLEARANCES,1.55,17
AERIAL_DUELS_WON,0.44,9
