Wissa,Yoane,Brentford
FW,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.27,61
NON_PEN_XG,0.29,82
TOTAL_SHOTS,1.76,36
ASSISTS,0.16,43
XA,0.18,57
NON_PEN_XG+XA,0.46,70
SHOT_CREATIONS,2.86,34
PASSES_ATTEMPTED,27.24,7
PASS_COMPLETION_PERCENTAGE,76.0,49
PROGRESSIVE_PASSES,2.09,16
PROGRESSIVE CARRIES,4.28,13
DRIBBLES_COMPLETED,1.43,40
TOUCHES_IN_AREA,3.79,47
PROGRESSIVE_PASSES_RECIEVED,7.74,80
PRESSURES,10.87,10
TACKLES,0.93,20
INTERCEPTIONS,0.49,10
BLOCKS,1.04,34
CLEARANCES,0.49,44
AERIAL_DUELS_WON,1.21,80
