Mwepu,Enock,Brighton
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.15,88
NON_PEN_XG,0.25,99
TOTAL_SHOTS,2.05,97
ASSISTS,0.00,11
XA,0.10,77
NON_PEN_XG+XA,0.34,97
SHOT_CREATIONS,2.79,85
PASSES_ATTEMPTED,42.51,27
PASS_COMPLETION_PERCENTAGE,75.5,7
PROGRESSIVE_PASSES,3.08,28
PROGRESSIVE CARRIES,3.66,47
DRIBBLES_COMPLETED,0.44,17
TOUCHES_IN_AREA,2.93,95
PROGRESSIVE_PASSES_RECIEVED,3.96,91
PRESSURES,22.43,86
TACKLES,3.66,96
INTERCEPTIONS,1.03,15
BLOCKS,2.64,99
CLEARANCES,1.17,31
AERIAL_DUELS_WON,0.88,36
