"b'Vydra, Matej'",Burnley
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.24,21
NON_PEN_XG,0.44,75
TOTAL_SHOTS,2.41,52
ASSISTS,0.18,71
XA,0.09,33
NON_PEN_XG+XA,0.53,63
SHOT_CREATIONS,2.12,43
PASSES_ATTEMPTED,16.64,10
PASS_COMPLETION_PERCENTAGE,70.7,37
PROGRESSIVE_PASSES,0.82,11
PROGRESSIVE CARRIES,2.06,31
DRIBBLES_COMPLETED,1.41,73
TOUCHES_IN_AREA,5.88,73
PROGRESSIVE_PASSES_RECIEVED,8.88,79
PRESSURES,18.69,84
TACKLES,0.76,57
INTERCEPTIONS,0.41,57
BLOCKS,0.65,36
CLEARANCES,0.82,71
AERIAL_DUELS_WON,2.12,61
