Ñíguez,Saúl,Chelsea
CM,DM,LM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.09,70
NON_PEN_XG,0.10,81
TOTAL_SHOTS,1.49,85
ASSISTS,0.09,62
XA,0.09,67
NON_PEN_XG+XA,0.19,77
SHOT_CREATIONS,1.40,30
PASSES_ATTEMPTED,50.42,49
PASS_COMPLETION_PERCENTAGE,81.5,35
PROGRESSIVE_PASSES,3.23,35
PROGRESSIVE CARRIES,2.40,19
DRIBBLES_COMPLETED,0.35,11
TOUCHES_IN_AREA,2.53,90
PROGRESSIVE_PASSES_RECIEVED,3.63,89
PRESSURES,20.80,75
TACKLES,3.36,93
INTERCEPTIONS,1.00,15
BLOCKS,2.32,94
CLEARANCES,1.62,56
AERIAL_DUELS_WON,3.32,98
