Gallagher,Conor,Crystal Palace
AM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.17,91
NON_PEN_XG,0.13,87
TOTAL_SHOTS,1.32,79
ASSISTS,0.14,82
XA,0.13,85
NON_PEN_XG+XA,0.26,87
SHOT_CREATIONS,2.70,83
PASSES_ATTEMPTED,34.63,9
PASS_COMPLETION_PERCENTAGE,76.1,9
PROGRESSIVE_PASSES,2.04,4
PROGRESSIVE CARRIES,3.16,33
DRIBBLES_COMPLETED,1.46,90
TOUCHES_IN_AREA,2.50,89
PROGRESSIVE_PASSES_RECIEVED,2.93,81
PRESSURES,24.82,94
TACKLES,2.64,73
INTERCEPTIONS,1.43,36
BLOCKS,2.04,85
CLEARANCES,1.06,26
AERIAL_DUELS_WON,0.89,36
