McArthur,James,Crystal Palace
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.02,9
TOTAL_SHOTS,0.49,16
ASSISTS,0.12,77
XA,0.05,40
NON_PEN_XG+XA,0.07,19
SHOT_CREATIONS,1.53,34
PASSES_ATTEMPTED,54.18,60
PASS_COMPLETION_PERCENTAGE,82.0,38
PROGRESSIVE_PASSES,4.09,56
PROGRESSIVE CARRIES,3.97,52
DRIBBLES_COMPLETED,1.34,87
TOUCHES_IN_AREA,1.53,72
PROGRESSIVE_PASSES_RECIEVED,2.07,66
PRESSURES,24.10,91
TACKLES,2.75,77
INTERCEPTIONS,1.59,49
BLOCKS,2.38,96
CLEARANCES,2.07,83
AERIAL_DUELS_WON,1.10,47
