"b'Milivojevic, Luka'",Crystal Palace
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.03,14
TOTAL_SHOTS,0.61,27
ASSISTS,0.04,30
XA,0.05,32
NON_PEN_XG+XA,0.07,18
SHOT_CREATIONS,1.00,9
PASSES_ATTEMPTED,48.60,45
PASS_COMPLETION_PERCENTAGE,80.4,29
PROGRESSIVE_PASSES,4.18,58
PROGRESSIVE CARRIES,2.64,22
DRIBBLES_COMPLETED,0.46,19
TOUCHES_IN_AREA,0.31,5
PROGRESSIVE_PASSES_RECIEVED,0.31,1
PRESSURES,16.98,35
TACKLES,2.41,60
INTERCEPTIONS,1.53,45
BLOCKS,1.69,62
CLEARANCES,1.80,72
AERIAL_DUELS_WON,1.19,51
