Gomes,André,Everton
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.07,55
TOTAL_SHOTS,1.44,82
ASSISTS,0.14,79
XA,0.06,44
NON_PEN_XG+XA,0.13,49
SHOT_CREATIONS,2.19,65
PASSES_ATTEMPTED,47.56,40
PASS_COMPLETION_PERCENTAGE,82.5,42
PROGRESSIVE_PASSES,4.72,71
PROGRESSIVE CARRIES,4.78,72
DRIBBLES_COMPLETED,1.78,94
TOUCHES_IN_AREA,1.23,58
PROGRESSIVE_PASSES_RECIEVED,2.19,67
PRESSURES,22.35,85
TACKLES,2.67,74
INTERCEPTIONS,1.16,21
BLOCKS,1.78,69
CLEARANCES,0.41,2
AERIAL_DUELS_WON,1.09,47
