Gordon,Anthony,Everton
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,1
NON_PEN_XG,0.14,22
TOTAL_SHOTS,1.31,10
ASSISTS,0.12,27
XA,0.10,6
NON_PEN_XG+XA,0.23,8
SHOT_CREATIONS,2.15,10
PASSES_ATTEMPTED,29.44,13
PASS_COMPLETION_PERCENTAGE,72.1,27
PROGRESSIVE_PASSES,2.26,20
PROGRESSIVE CARRIES,4.89,25
DRIBBLES_COMPLETED,1.55,47
TOUCHES_IN_AREA,3.34,36
PROGRESSIVE_PASSES_RECIEVED,3.93,8
PRESSURES,17.88,66
TACKLES,2.62,97
INTERCEPTIONS,1.55,94
BLOCKS,2.62,99
CLEARANCES,0.36,29
AERIAL_DUELS_WON,0.95,72
