Richarlison,,Everton
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.25,23
NON_PEN_XG,0.30,30
TOTAL_SHOTS,2.15,34
ASSISTS,0.06,25
XA,0.10,34
NON_PEN_XG+XA,0.40,30
SHOT_CREATIONS,2.21,50
PASSES_ATTEMPTED,21.10,33
PASS_COMPLETION_PERCENTAGE,66.4,15
PROGRESSIVE_PASSES,1.44,48
PROGRESSIVE CARRIES,4.27,78
DRIBBLES_COMPLETED,1.41,73
TOUCHES_IN_AREA,4.54,29
PROGRESSIVE_PASSES_RECIEVED,6.57,32
PRESSURES,18.79,86
TACKLES,1.26,90
INTERCEPTIONS,0.68,84
BLOCKS,1.20,88
CLEARANCES,1.26,93
AERIAL_DUELS_WON,1.47,38
