Phillips,Kalvin,Leeds United
DM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,35
NON_PEN_XG,0.02,12
TOTAL_SHOTS,0.75,37
ASSISTS,0.04,28
XA,0.09,65
NON_PEN_XG+XA,0.11,37
SHOT_CREATIONS,1.75,47
PASSES_ATTEMPTED,51.64,52
PASS_COMPLETION_PERCENTAGE,82.6,44
PROGRESSIVE_PASSES,3.28,37
PROGRESSIVE CARRIES,1.78,6
DRIBBLES_COMPLETED,0.53,26
TOUCHES_IN_AREA,0.53,15
PROGRESSIVE_PASSES_RECIEVED,0.93,16
PRESSURES,26.21,97
TACKLES,2.92,83
INTERCEPTIONS,1.99,79
BLOCKS,2.17,91
CLEARANCES,2.32,89
AERIAL_DUELS_WON,1.42,61
