Cooper,Liam,Leeds United
CB,LB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,45
NON_PEN_XG,0.04,39
TOTAL_SHOTS,0.49,50
ASSISTS,0.04,70
XA,0.00,4
NON_PEN_XG+XA,0.04,23
SHOT_CREATIONS,0.53,49
PASSES_ATTEMPTED,60.00,71
PASS_COMPLETION_PERCENTAGE,87.0,51
PROGRESSIVE_PASSES,2.60,50
PROGRESSIVE CARRIES,1.86,31
DRIBBLES_COMPLETED,0.14,29
TOUCHES_IN_AREA,0.81,51
PROGRESSIVE_PASSES_RECIEVED,0.04,10
PRESSURES,11.57,81
TACKLES,2.60,96
INTERCEPTIONS,2.29,86
BLOCKS,2.00,81
CLEARANCES,5.84,77
AERIAL_DUELS_WON,4.01,93
