Ayling,Luke,Leeds United
DM,RB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,46
NON_PEN_XG,0.04,58
TOTAL_SHOTS,0.70,63
ASSISTS,0.03,19
XA,0.03,11
NON_PEN_XG+XA,0.08,23
SHOT_CREATIONS,1.06,13
PASSES_ATTEMPTED,68.47,90
PASS_COMPLETION_PERCENTAGE,80.4,68
PROGRESSIVE_PASSES,4.67,80
PROGRESSIVE CARRIES,5.67,72
DRIBBLES_COMPLETED,1.00,66
TOUCHES_IN_AREA,1.58,62
PROGRESSIVE_PASSES_RECIEVED,1.12,15
PRESSURES,14.01,68
TACKLES,2.85,85
INTERCEPTIONS,1.67,57
BLOCKS,2.12,72
CLEARANCES,3.34,88
AERIAL_DUELS_WON,1.94,87
