Thomas,Luke,Leicester City
DF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,57
NON_PEN_XG,0.02,33
TOTAL_SHOTS,0.55,48
ASSISTS,0.05,28
XA,0.05,24
NON_PEN_XG+XA,0.07,21
SHOT_CREATIONS,1.38,35
PASSES_ATTEMPTED,53.54,57
PASS_COMPLETION_PERCENTAGE,79.6,64
PROGRESSIVE_PASSES,3.51,48
PROGRESSIVE CARRIES,3.14,15
DRIBBLES_COMPLETED,0.83,53
TOUCHES_IN_AREA,1.43,54
PROGRESSIVE_PASSES_RECIEVED,1.98,46
PRESSURES,14.86,76
TACKLES,2.08,54
INTERCEPTIONS,1.48,40
BLOCKS,2.03,65
CLEARANCES,2.31,47
AERIAL_DUELS_WON,1.52,72
