Tielemans,Youri,Leicester City
AM,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.17,90
NON_PEN_XG,0.10,77
TOTAL_SHOTS,1.61,89
ASSISTS,0.17,87
XA,0.17,91
NON_PEN_XG+XA,0.26,88
SHOT_CREATIONS,3.41,95
PASSES_ATTEMPTED,66.61,86
PASS_COMPLETION_PERCENTAGE,78.6,20
PROGRESSIVE_PASSES,6.40,92
PROGRESSIVE CARRIES,4.79,73
DRIBBLES_COMPLETED,1.07,71
TOUCHES_IN_AREA,1.40,65
PROGRESSIVE_PASSES_RECIEVED,2.75,77
PRESSURES,13.84,12
TACKLES,2.13,46
INTERCEPTIONS,1.14,20
BLOCKS,1.82,73
CLEARANCES,1.14,29
AERIAL_DUELS_WON,0.97,41
