"b'Soyuncu, Caglar'",Leicester City
CB,LCB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,60
NON_PEN_XG,0.05,54
TOTAL_SHOTS,0.38,32
ASSISTS,0.00,28
XA,0.01,38
NON_PEN_XG+XA,0.06,46
SHOT_CREATIONS,0.46,38
PASSES_ATTEMPTED,66.51,82
PASS_COMPLETION_PERCENTAGE,87.0,51
PROGRESSIVE_PASSES,3.27,72
PROGRESSIVE CARRIES,4.26,83
DRIBBLES_COMPLETED,0.30,71
TOUCHES_IN_AREA,0.84,56
PROGRESSIVE_PASSES_RECIEVED,0.05,14
PRESSURES,8.49,46
TACKLES,1.72,66
INTERCEPTIONS,1.55,37
BLOCKS,1.52,37
CLEARANCES,5.58,69
AERIAL_DUELS_WON,3.65,87
