Robertson,Andrew,Liverpool
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.02,24
TOTAL_SHOTS,0.45,34
ASSISTS,0.16,82
XA,0.21,96
NON_PEN_XG+XA,0.22,86
SHOT_CREATIONS,3.05,95
PASSES_ATTEMPTED,81.42,97
PASS_COMPLETION_PERCENTAGE,79.8,65
PROGRESSIVE_PASSES,6.87,98
PROGRESSIVE CARRIES,6.76,86
DRIBBLES_COMPLETED,0.72,47
TOUCHES_IN_AREA,2.83,90
PROGRESSIVE_PASSES_RECIEVED,4.38,95
PRESSURES,9.52,12
TACKLES,1.35,11
INTERCEPTIONS,1.32,27
BLOCKS,1.46,17
CLEARANCES,2.58,60
AERIAL_DUELS_WON,1.26,55
