Jota,Diogo,Liverpool
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.58,87
NON_PEN_XG,0.69,99
TOTAL_SHOTS,3.70,93
ASSISTS,0.08,31
XA,0.16,71
NON_PEN_XG+XA,0.85,97
SHOT_CREATIONS,3.45,91
PASSES_ATTEMPTED,31.27,81
PASS_COMPLETION_PERCENTAGE,71.7,44
PROGRESSIVE_PASSES,2.96,89
PROGRESSIVE CARRIES,5.47,88
DRIBBLES_COMPLETED,1.60,83
TOUCHES_IN_AREA,7.40,93
PROGRESSIVE_PASSES_RECIEVED,9.21,84
PRESSURES,21.53,95
TACKLES,1.19,86
INTERCEPTIONS,0.74,93
BLOCKS,0.90,71
CLEARANCES,0.33,25
AERIAL_DUELS_WON,1.52,41
