Salah,Mohamed,Liverpool
RW,AM,RM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.66,98
NON_PEN_XG,0.55,99
TOTAL_SHOTS,3.65,98
ASSISTS,0.25,72
XA,0.22,72
NON_PEN_XG+XA,0.77,99
SHOT_CREATIONS,3.44,59
PASSES_ATTEMPTED,36.52,41
PASS_COMPLETION_PERCENTAGE,81.1,83
PROGRESSIVE_PASSES,3.82,65
PROGRESSIVE CARRIES,6.54,62
DRIBBLES_COMPLETED,1.59,50
TOUCHES_IN_AREA,9.57,99
PROGRESSIVE_PASSES_RECIEVED,11.90,99
PRESSURES,15.45,46
TACKLES,0.50,1
INTERCEPTIONS,0.35,2
BLOCKS,0.47,3
CLEARANCES,0.29,20
AERIAL_DUELS_WON,0.43,27
