Keïta,Naby,Liverpool
AM,CM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.34,99
NON_PEN_XG,0.12,85
TOTAL_SHOTS,1.81,93
ASSISTS,0.11,73
XA,0.21,97
NON_PEN_XG+XA,0.33,96
SHOT_CREATIONS,3.39,94
PASSES_ATTEMPTED,58.34,72
PASS_COMPLETION_PERCENTAGE,85.9,67
PROGRESSIVE_PASSES,4.18,58
PROGRESSIVE CARRIES,8.93,99
DRIBBLES_COMPLETED,1.24,82
TOUCHES_IN_AREA,1.81,79
PROGRESSIVE_PASSES_RECIEVED,3.84,90
PRESSURES,23.63,90
TACKLES,2.60,72
INTERCEPTIONS,1.58,49
BLOCKS,1.81,71
CLEARANCES,0.57,6
AERIAL_DUELS_WON,0.45,8
