Firmino,Roberto,Liverpool
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.43,70
NON_PEN_XG,0.49,82
TOTAL_SHOTS,2.86,75
ASSISTS,0.25,88
XA,0.21,88
NON_PEN_XG+XA,0.70,90
SHOT_CREATIONS,3.37,88
PASSES_ATTEMPTED,43.55,96
PASS_COMPLETION_PERCENTAGE,79.3,88
PROGRESSIVE_PASSES,4.45,97
PROGRESSIVE CARRIES,5.72,89
DRIBBLES_COMPLETED,1.52,79
TOUCHES_IN_AREA,6.77,87
PROGRESSIVE_PASSES_RECIEVED,10.54,94
PRESSURES,20.20,91
TACKLES,1.52,98
INTERCEPTIONS,0.40,50
BLOCKS,2.03,99
CLEARANCES,0.33,24
AERIAL_DUELS_WON,0.83,17
