Grealish,Jack,Manchester City
LW,AM,LM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.14,26
NON_PEN_XG,0.20,47
TOTAL_SHOTS,1.72,34
ASSISTS,0.28,81
XA,0.32,94
NON_PEN_XG+XA,0.52,80
SHOT_CREATIONS,5.87,99
PASSES_ATTEMPTED,47.79,81
PASS_COMPLETION_PERCENTAGE,83.1,91
PROGRESSIVE_PASSES,5.41,92
PROGRESSIVE CARRIES,13.88,99
DRIBBLES_COMPLETED,1.65,51
TOUCHES_IN_AREA,7.49,94
PROGRESSIVE_PASSES_RECIEVED,7.59,76
PRESSURES,12.97,20
TACKLES,1.02,25
INTERCEPTIONS,0.53,15
BLOCKS,0.91,22
CLEARANCES,0.25,16
AERIAL_DUELS_WON,0.49,32
