Williams,Brandon,Manchester Utd
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.01,19
TOTAL_SHOTS,0.22,12
ASSISTS,0.00,8
XA,0.03,9
NON_PEN_XG+XA,0.04,5
SHOT_CREATIONS,1.03,12
PASSES_ATTEMPTED,52.42,51
PASS_COMPLETION_PERCENTAGE,85.5,91
PROGRESSIVE_PASSES,3.91,63
PROGRESSIVE CARRIES,4.65,55
DRIBBLES_COMPLETED,0.66,42
TOUCHES_IN_AREA,1.70,66
PROGRESSIVE_PASSES_RECIEVED,2.14,53
PRESSURES,11.22,27
TACKLES,1.99,47
INTERCEPTIONS,3.03,99
BLOCKS,2.21,78
CLEARANCES,1.77,22
AERIAL_DUELS_WON,1.03,40
