Sancho,Jadon,Manchester Utd
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.35,84
NON_PEN_XG,0.24,67
TOTAL_SHOTS,1.62,27
ASSISTS,0.35,91
XA,0.26,84
NON_PEN_XG+XA,0.50,77
SHOT_CREATIONS,4.93,92
PASSES_ATTEMPTED,55.72,93
PASS_COMPLETION_PERCENTAGE,81.3,84
PROGRESSIVE_PASSES,5.16,88
PROGRESSIVE CARRIES,10.17,95
DRIBBLES_COMPLETED,3.11,93
TOUCHES_IN_AREA,5.44,80
PROGRESSIVE_PASSES_RECIEVED,7.17,67
PRESSURES,13.12,20
TACKLES,0.95,21
INTERCEPTIONS,0.67,28
BLOCKS,1.62,84
CLEARANCES,0.51,47
AERIAL_DUELS_WON,0.08,2
