Rashford,Marcus,Manchester Utd
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.33,81
NON_PEN_XG,0.27,77
TOTAL_SHOTS,2.50,72
ASSISTS,0.21,61
XA,0.11,12
NON_PEN_XG+XA,0.37,47
SHOT_CREATIONS,3.11,46
PASSES_ATTEMPTED,39.12,51
PASS_COMPLETION_PERCENTAGE,79.0,68
PROGRESSIVE_PASSES,2.96,36
PROGRESSIVE CARRIES,6.36,57
DRIBBLES_COMPLETED,2.74,91
TOUCHES_IN_AREA,5.97,85
PROGRESSIVE_PASSES_RECIEVED,9.20,93
PRESSURES,12.09,14
TACKLES,0.78,9
INTERCEPTIONS,0.33,1
BLOCKS,1.06,35
CLEARANCES,0.36,29
AERIAL_DUELS_WON,0.78,64
