Wilson,Callum,Newcastle Utd
FW,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.37,50
NON_PEN_XG,0.32,40
TOTAL_SHOTS,2.12,32
ASSISTS,0.08,32
XA,0.06,14
NON_PEN_XG+XA,0.38,27
SHOT_CREATIONS,1.70,19
PASSES_ATTEMPTED,13.29,1
PASS_COMPLETION_PERCENTAGE,71.9,45
PROGRESSIVE_PASSES,0.71,5
PROGRESSIVE CARRIES,2.45,43
DRIBBLES_COMPLETED,1.20,66
TOUCHES_IN_AREA,4.28,20
PROGRESSIVE_PASSES_RECIEVED,5.11,7
PRESSURES,13.25,37
TACKLES,0.66,47
INTERCEPTIONS,0.17,7
BLOCKS,0.54,21
CLEARANCES,0.79,67
AERIAL_DUELS_WON,1.62,46
