Fernández,Federico,Newcastle Utd
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.04,40
TOTAL_SHOTS,0.56,63
ASSISTS,0.00,28
XA,0.03,84
NON_PEN_XG+XA,0.07,64
SHOT_CREATIONS,0.67,67
PASSES_ATTEMPTED,35.23,7
PASS_COMPLETION_PERCENTAGE,81.8,16
PROGRESSIVE_PASSES,1.23,5
PROGRESSIVE CARRIES,0.39,1
DRIBBLES_COMPLETED,0.00,1
TOUCHES_IN_AREA,1.06,77
PROGRESSIVE_PASSES_RECIEVED,0.28,76
PRESSURES,7.48,32
TACKLES,1.40,44
INTERCEPTIONS,1.56,39
BLOCKS,1.79,63
CLEARANCES,6.53,88
AERIAL_DUELS_WON,2.23,38
