Ritchie,Matt,Newcastle Utd
DM,RB,RM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.03,35
TOTAL_SHOTS,0.71,66
ASSISTS,0.15,80
XA,0.11,72
NON_PEN_XG+XA,0.13,56
SHOT_CREATIONS,2.74,90
PASSES_ATTEMPTED,44.01,14
PASS_COMPLETION_PERCENTAGE,70.5,10
PROGRESSIVE_PASSES,2.82,20
PROGRESSIVE CARRIES,2.67,9
DRIBBLES_COMPLETED,0.34,9
TOUCHES_IN_AREA,0.75,18
PROGRESSIVE_PASSES_RECIEVED,0.86,7
PRESSURES,10.03,16
TACKLES,1.31,10
INTERCEPTIONS,1.69,59
BLOCKS,1.95,56
CLEARANCES,2.40,51
AERIAL_DUELS_WON,1.01,39
