Giannoulis,Dimitris,Norwich City
LB,LM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.02,25
TOTAL_SHOTS,0.37,24
ASSISTS,0.18,87
XA,0.06,28
NON_PEN_XG+XA,0.07,21
SHOT_CREATIONS,1.10,16
PASSES_ATTEMPTED,57.12,70
PASS_COMPLETION_PERCENTAGE,75.6,34
PROGRESSIVE_PASSES,2.94,24
PROGRESSIVE CARRIES,5.14,63
DRIBBLES_COMPLETED,2.94,99
TOUCHES_IN_AREA,1.29,49
PROGRESSIVE_PASSES_RECIEVED,3.49,88
PRESSURES,14.69,74
TACKLES,2.57,78
INTERCEPTIONS,2.94,98
BLOCKS,3.31,99
CLEARANCES,2.02,34
AERIAL_DUELS_WON,0.55,12
