Aarons,Max,Norwich City
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.04,50
TOTAL_SHOTS,0.53,46
ASSISTS,0.06,40
XA,0.05,26
NON_PEN_XG+XA,0.08,26
SHOT_CREATIONS,1.35,32
PASSES_ATTEMPTED,46.71,23
PASS_COMPLETION_PERCENTAGE,77.6,51
PROGRESSIVE_PASSES,3.71,55
PROGRESSIVE CARRIES,5.94,78
DRIBBLES_COMPLETED,1.47,85
TOUCHES_IN_AREA,0.88,24
PROGRESSIVE_PASSES_RECIEVED,1.53,29
PRESSURES,11.59,34
TACKLES,2.06,53
INTERCEPTIONS,1.53,44
BLOCKS,2.59,92
CLEARANCES,1.88,28
AERIAL_DUELS_WON,0.47,9
