Kabak,Ozan,Norwich City
CB,RCB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.03,21
TOTAL_SHOTS,0.41,38
ASSISTS,0.00,28
XA,0.01,44
NON_PEN_XG+XA,0.04,18
SHOT_CREATIONS,0.49,43
PASSES_ATTEMPTED,50.81,45
PASS_COMPLETION_PERCENTAGE,88.1,63
PROGRESSIVE_PASSES,2.25,34
PROGRESSIVE CARRIES,2.25,40
DRIBBLES_COMPLETED,0.82,99
TOUCHES_IN_AREA,0.64,30
PROGRESSIVE_PASSES_RECIEVED,0.04,10
PRESSURES,10.12,68
TACKLES,1.61,61
INTERCEPTIONS,1.50,31
BLOCKS,1.69,54
CLEARANCES,5.02,50
AERIAL_DUELS_WON,3.26,76
