Broja,Armando,Southampton
FW,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.58,88
NON_PEN_XG,0.38,58
TOTAL_SHOTS,2.46,53
ASSISTS,0.00,5
XA,0.13,56
NON_PEN_XG+XA,0.51,58
SHOT_CREATIONS,1.73,21
PASSES_ATTEMPTED,18.20,17
PASS_COMPLETION_PERCENTAGE,59.5,3
PROGRESSIVE_PASSES,1.16,28
PROGRESSIVE CARRIES,3.18,60
DRIBBLES_COMPLETED,1.16,63
TOUCHES_IN_AREA,5.35,60
PROGRESSIVE_PASSES_RECIEVED,5.92,19
PRESSURES,20.22,92
TACKLES,1.16,84
INTERCEPTIONS,0.58,78
BLOCKS,1.16,85
CLEARANCES,0.58,44
AERIAL_DUELS_WON,4.77,93
