Ward-Prowse,James,Southampton
AM,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,49
NON_PEN_XG,0.06,45
TOTAL_SHOTS,1.13,68
ASSISTS,0.10,68
XA,0.12,85
NON_PEN_XG+XA,0.18,73
SHOT_CREATIONS,2.42,75
PASSES_ATTEMPTED,63.52,80
PASS_COMPLETION_PERCENTAGE,79.3,23
PROGRESSIVE_PASSES,3.90,51
PROGRESSIVE CARRIES,3.05,30
DRIBBLES_COMPLETED,0.53,26
TOUCHES_IN_AREA,0.70,25
PROGRESSIVE_PASSES_RECIEVED,1.03,22
PRESSURES,17.14,39
TACKLES,1.96,36
INTERCEPTIONS,1.49,40
BLOCKS,1.71,65
CLEARANCES,1.69,63
AERIAL_DUELS_WON,1.16,49
