Salisu,Mohammed,Southampton
CB,LCB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.04,41
TOTAL_SHOTS,0.52,56
ASSISTS,0.00,28
XA,0.01,47
NON_PEN_XG+XA,0.05,35
SHOT_CREATIONS,0.72,73
PASSES_ATTEMPTED,48.92,38
PASS_COMPLETION_PERCENTAGE,79.8,9
PROGRESSIVE_PASSES,3.28,73
PROGRESSIVE CARRIES,3.16,64
DRIBBLES_COMPLETED,0.64,94
TOUCHES_IN_AREA,0.92,65
PROGRESSIVE_PASSES_RECIEVED,0.20,64
PRESSURES,11.85,83
TACKLES,2.76,99
INTERCEPTIONS,2.80,97
BLOCKS,2.12,85
CLEARANCES,5.65,71
AERIAL_DUELS_WON,3.84,90
