Redmond,Nathan,Southampton
AM,LM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,3
NON_PEN_XG,0.15,22
TOTAL_SHOTS,1.94,48
ASSISTS,0.26,77
XA,0.23,79
NON_PEN_XG+XA,0.38,49
SHOT_CREATIONS,3.36,58
PASSES_ATTEMPTED,36.32,39
PASS_COMPLETION_PERCENTAGE,72.8,29
PROGRESSIVE_PASSES,3.62,61
PROGRESSIVE CARRIES,5.82,46
DRIBBLES_COMPLETED,1.75,57
TOUCHES_IN_AREA,3.84,49
PROGRESSIVE_PASSES_RECIEVED,5.94,42
PRESSURES,19.82,79
TACKLES,1.23,38
INTERCEPTIONS,1.16,77
BLOCKS,1.83,91
CLEARANCES,0.71,72
AERIAL_DUELS_WON,0.71,55
