Davies,Ben,Tottenham
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.06,75
TOTAL_SHOTS,0.48,38
ASSISTS,0.11,64
XA,0.07,43
NON_PEN_XG+XA,0.13,58
SHOT_CREATIONS,1.23,23
PASSES_ATTEMPTED,55.07,61
PASS_COMPLETION_PERCENTAGE,80.3,68
PROGRESSIVE_PASSES,3.90,61
PROGRESSIVE CARRIES,4.91,58
DRIBBLES_COMPLETED,0.37,12
TOUCHES_IN_AREA,1.12,40
PROGRESSIVE_PASSES_RECIEVED,1.01,11
PRESSURES,11.27,28
TACKLES,2.03,51
INTERCEPTIONS,1.39,32
BLOCKS,1.39,13
CLEARANCES,4.01,98
AERIAL_DUELS_WON,1.76,83
