Alli,Dele,Tottenham
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,10
NON_PEN_XG,0.11,10
TOTAL_SHOTS,1.20,8
ASSISTS,0.20,56
XA,0.15,38
NON_PEN_XG+XA,0.25,14
SHOT_CREATIONS,2.61,22
PASSES_ATTEMPTED,41.06,61
PASS_COMPLETION_PERCENTAGE,80.6,79
PROGRESSIVE_PASSES,3.41,56
PROGRESSIVE CARRIES,4.21,12
DRIBBLES_COMPLETED,1.07,22
TOUCHES_IN_AREA,3.41,36
PROGRESSIVE_PASSES_RECIEVED,5.75,40
PRESSURES,26.48,98
TACKLES,2.54,97
INTERCEPTIONS,1.54,94
BLOCKS,2.54,99
CLEARANCES,0.87,82
AERIAL_DUELS_WON,1.20,80
