Tanganga,Japhet,Tottenham
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.04,50
TOTAL_SHOTS,0.46,35
ASSISTS,0.00,8
XA,0.04,14
NON_PEN_XG+XA,0.06,15
SHOT_CREATIONS,0.27,1
PASSES_ATTEMPTED,42.40,11
PASS_COMPLETION_PERCENTAGE,80.6,69
PROGRESSIVE_PASSES,2.28,6
PROGRESSIVE CARRIES,2.37,5
DRIBBLES_COMPLETED,1.28,79
TOUCHES_IN_AREA,1.09,39
PROGRESSIVE_PASSES_RECIEVED,1.19,17
PRESSURES,13.86,66
TACKLES,1.37,12
INTERCEPTIONS,1.37,30
BLOCKS,1.91,54
CLEARANCES,3.83,96
AERIAL_DUELS_WON,2.28,93
