Sessegnon,Ryan,Tottenham
LB,DF,FW-MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.09,79
NON_PEN_XG,0.03,35
TOTAL_SHOTS,0.44,32
ASSISTS,0.09,55
XA,0.11,76
NON_PEN_XG+XA,0.15,66
SHOT_CREATIONS,1.75,55
PASSES_ATTEMPTED,51.12,43
PASS_COMPLETION_PERCENTAGE,76.9,45
PROGRESSIVE_PASSES,3.32,42
PROGRESSIVE CARRIES,4.89,57
DRIBBLES_COMPLETED,0.87,55
TOUCHES_IN_AREA,1.66,64
PROGRESSIVE_PASSES_RECIEVED,3.15,81
PRESSURES,18.44,93
TACKLES,2.27,65
INTERCEPTIONS,1.49,40
BLOCKS,2.18,75
CLEARANCES,2.71,68
AERIAL_DUELS_WON,1.22,51
