Ndombele,Tanguy,Tottenham
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.13,84
NON_PEN_XG,0.05,36
TOTAL_SHOTS,0.98,55
ASSISTS,0.04,37
XA,0.07,50
NON_PEN_XG+XA,0.11,37
SHOT_CREATIONS,2.36,73
PASSES_ATTEMPTED,53.02,58
PASS_COMPLETION_PERCENTAGE,87.4,80
PROGRESSIVE_PASSES,4.76,71
PROGRESSIVE CARRIES,7.82,95
DRIBBLES_COMPLETED,3.02,99
TOUCHES_IN_AREA,1.69,77
PROGRESSIVE_PASSES_RECIEVED,3.47,88
PRESSURES,16.98,35
TACKLES,2.31,55
INTERCEPTIONS,1.24,26
BLOCKS,1.02,9
CLEARANCES,0.71,10
AERIAL_DUELS_WON,0.49,9
