Coufal,Vladimír,West Ham
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.04,56
TOTAL_SHOTS,0.57,50
ASSISTS,0.22,90
XA,0.14,83
NON_PEN_XG+XA,0.18,78
SHOT_CREATIONS,2.18,77
PASSES_ATTEMPTED,54.07,59
PASS_COMPLETION_PERCENTAGE,70.7,10
PROGRESSIVE_PASSES,3.82,59
PROGRESSIVE CARRIES,3.31,18
DRIBBLES_COMPLETED,0.57,32
TOUCHES_IN_AREA,1.53,60
PROGRESSIVE_PASSES_RECIEVED,1.83,38
PRESSURES,13.46,62
TACKLES,1.80,36
INTERCEPTIONS,1.08,9
BLOCKS,2.07,70
CLEARANCES,3.36,89
AERIAL_DUELS_WON,1.45,68
