Semedo,Nélson,Wolves
RB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,40
NON_PEN_XG,0.07,78
TOTAL_SHOTS,0.69,61
ASSISTS,0.03,17
XA,0.04,19
NON_PEN_XG+XA,0.11,40
SHOT_CREATIONS,1.66,50
PASSES_ATTEMPTED,53.11,54
PASS_COMPLETION_PERCENTAGE,81.2,73
PROGRESSIVE_PASSES,3.01,26
PROGRESSIVE CARRIES,6.83,87
DRIBBLES_COMPLETED,1.48,86
TOUCHES_IN_AREA,1.85,71
PROGRESSIVE_PASSES_RECIEVED,3.09,80
PRESSURES,16.80,88
TACKLES,2.58,79
INTERCEPTIONS,1.48,39
BLOCKS,1.50,21
CLEARANCES,2.64,63
AERIAL_DUELS_WON,1.19,50
