"b'Mitrovic, Aleksandar'",Fulham
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.13,4
NON_PEN_XG,0.30,30
TOTAL_SHOTS,3.38,88
ASSISTS,0.13,49
XA,0.17,74
NON_PEN_XG+XA,0.47,48
SHOT_CREATIONS,3.38,88
PASSES_ATTEMPTED,25.71,62
PASS_COMPLETION_PERCENTAGE,76.3,73
PROGRESSIVE_PASSES,1.69,60
PROGRESSIVE CARRIES,1.56,12
DRIBBLES_COMPLETED,0.78,29
TOUCHES_IN_AREA,7.14,91
PROGRESSIVE_PASSES_RECIEVED,7.01,42
PRESSURES,12.86,35
TACKLES,0.52,33
INTERCEPTIONS,0.26,24
BLOCKS,0.91,72
CLEARANCES,0.52,38
AERIAL_DUELS_WON,4.29,89
