Zambo Anguissa,Andre-Frank,Fulham
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.07,55
TOTAL_SHOTS,1.30,78
ASSISTS,0.03,25
XA,0.08,58
NON_PEN_XG+XA,0.14,53
SHOT_CREATIONS,2.53,80
PASSES_ATTEMPTED,52.85,56
PASS_COMPLETION_PERCENTAGE,87.2,78
PROGRESSIVE_PASSES,4.34,61
PROGRESSIVE CARRIES,6.20,88
DRIBBLES_COMPLETED,2.44,99
TOUCHES_IN_AREA,2.18,86
PROGRESSIVE_PASSES_RECIEVED,3.39,87
PRESSURES,19.84,67
TACKLES,2.37,56
INTERCEPTIONS,1.71,60
BLOCKS,1.36,33
CLEARANCES,1.30,40
AERIAL_DUELS_WON,1.93,80
