Osborn,Ben,Sheffield Utd
LB,LAM,AM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,12
NON_PEN_XG,0.07,2
TOTAL_SHOTS,0.52,1
ASSISTS,0.00,1
XA,0.13,26
NON_PEN_XG+XA,0.20,6
SHOT_CREATIONS,1.79,3
PASSES_ATTEMPTED,48.96,84
PASS_COMPLETION_PERCENTAGE,80.8,80
PROGRESSIVE_PASSES,4.10,75
PROGRESSIVE CARRIES,4.85,24
DRIBBLES_COMPLETED,1.19,28
TOUCHES_IN_AREA,2.31,10
PROGRESSIVE_PASSES_RECIEVED,4.85,21
PRESSURES,21.79,93
TACKLES,1.57,66
INTERCEPTIONS,1.04,63
BLOCKS,1.57,81
CLEARANCES,0.90,84
AERIAL_DUELS_WON,0.82,65
