Agirregabiria,Martin,Alavés
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.01,12
TOTAL_SHOTS,0.24,14
ASSISTS,0.08,53
XA,0.06,30
NON_PEN_XG+XA,0.07,17
SHOT_CREATIONS,1.38,34
PASSES_ATTEMPTED,45.93,22
PASS_COMPLETION_PERCENTAGE,72.5,17
PROGRESSIVE_PASSES,3.08,29
PROGRESSIVE CARRIES,2.43,5
DRIBBLES_COMPLETED,0.45,18
TOUCHES_IN_AREA,0.57,10
PROGRESSIVE_PASSES_RECIEVED,1.25,20
PRESSURES,11.09,25
TACKLES,2.14,58
INTERCEPTIONS,1.62,53
BLOCKS,1.50,20
CLEARANCES,2.67,65
AERIAL_DUELS_WON,1.50,71
