García,Dani,Athletic Club
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.04,27
TOTAL_SHOTS,0.50,17
ASSISTS,0.00,11
XA,0.02,7
NON_PEN_XG+XA,0.05,10
SHOT_CREATIONS,1.03,10
PASSES_ATTEMPTED,46.35,36
PASS_COMPLETION_PERCENTAGE,81.4,34
PROGRESSIVE_PASSES,3.73,47
PROGRESSIVE CARRIES,2.29,16
DRIBBLES_COMPLETED,0.34,11
TOUCHES_IN_AREA,0.72,28
PROGRESSIVE_PASSES_RECIEVED,1.14,27
PRESSURES,13.64,10
TACKLES,1.60,15
INTERCEPTIONS,1.22,24
BLOCKS,1.22,20
CLEARANCES,2.13,85
AERIAL_DUELS_WON,1.60,68
