Morcillo,Jon,Athletic Club
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.18,39
NON_PEN_XG,0.11,12
TOTAL_SHOTS,1.38,16
ASSISTS,0.09,14
XA,0.20,67
NON_PEN_XG+XA,0.32,33
SHOT_CREATIONS,2.40,16
PASSES_ATTEMPTED,35.13,33
PASS_COMPLETION_PERCENTAGE,65.4,7
PROGRESSIVE_PASSES,3.69,62
PROGRESSIVE CARRIES,6.73,65
DRIBBLES_COMPLETED,0.46,2
TOUCHES_IN_AREA,2.58,16
PROGRESSIVE_PASSES_RECIEVED,5.07,25
PRESSURES,17.52,63
TACKLES,0.92,18
INTERCEPTIONS,1.84,98
BLOCKS,1.38,67
CLEARANCES,0.55,55
AERIAL_DUELS_WON,0.92,70
