Vesga,Mikel,Athletic Club
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.07,62
TOTAL_SHOTS,0.96,54
ASSISTS,0.00,11
XA,0.07,56
NON_PEN_XG+XA,0.14,52
SHOT_CREATIONS,2.16,65
PASSES_ATTEMPTED,48.63,45
PASS_COMPLETION_PERCENTAGE,80.3,28
PROGRESSIVE_PASSES,5.62,86
PROGRESSIVE CARRIES,3.92,51
DRIBBLES_COMPLETED,0.34,10
TOUCHES_IN_AREA,1.19,56
PROGRESSIVE_PASSES_RECIEVED,1.53,45
PRESSURES,21.51,81
TACKLES,1.42,10
INTERCEPTIONS,1.08,17
BLOCKS,1.82,72
CLEARANCES,3.06,97
AERIAL_DUELS_WON,2.78,94
