Álvarez,Yeray,Athletic Club
RCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,60
NON_PEN_XG,0.02,16
TOTAL_SHOTS,0.36,25
ASSISTS,0.00,28
XA,0.01,39
NON_PEN_XG+XA,0.03,12
SHOT_CREATIONS,0.66,65
PASSES_ATTEMPTED,52.28,49
PASS_COMPLETION_PERCENTAGE,84.8,35
PROGRESSIVE_PASSES,3.11,66
PROGRESSIVE CARRIES,2.70,52
DRIBBLES_COMPLETED,0.46,85
TOUCHES_IN_AREA,0.56,23
PROGRESSIVE_PASSES_RECIEVED,0.15,50
PRESSURES,5.85,10
TACKLES,1.48,50
INTERCEPTIONS,2.24,84
BLOCKS,1.48,31
CLEARANCES,5.40,64
AERIAL_DUELS_WON,3.11,70
