de Marcos,Óscar,Athletic Club
DM,RB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,61
NON_PEN_XG,0.06,73
TOTAL_SHOTS,0.25,15
ASSISTS,0.10,61
XA,0.09,56
NON_PEN_XG+XA,0.15,67
SHOT_CREATIONS,1.21,22
PASSES_ATTEMPTED,50.53,40
PASS_COMPLETION_PERCENTAGE,77.6,51
PROGRESSIVE_PASSES,3.32,41
PROGRESSIVE CARRIES,5.03,60
DRIBBLES_COMPLETED,0.40,13
TOUCHES_IN_AREA,1.46,56
PROGRESSIVE_PASSES_RECIEVED,2.97,78
PRESSURES,12.17,45
TACKLES,1.66,25
INTERCEPTIONS,1.36,29
BLOCKS,2.06,69
CLEARANCES,2.46,52
AERIAL_DUELS_WON,0.96,34
