Félix,João,Atlético Madrid
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.16,7
NON_PEN_XG,0.19,7
TOTAL_SHOTS,2.03,27
ASSISTS,0.27,89
XA,0.17,72
NON_PEN_XG+XA,0.36,21
SHOT_CREATIONS,2.30,55
PASSES_ATTEMPTED,34.60,88
PASS_COMPLETION_PERCENTAGE,81.9,94
PROGRESSIVE_PASSES,4.01,96
PROGRESSIVE CARRIES,6.63,93
DRIBBLES_COMPLETED,1.28,70
TOUCHES_IN_AREA,3.80,11
PROGRESSIVE_PASSES_RECIEVED,6.68,35
PRESSURES,9.09,6
TACKLES,0.43,22
INTERCEPTIONS,0.75,93
BLOCKS,0.32,3
CLEARANCES,0.59,45
AERIAL_DUELS_WON,1.02,25
