"b'Savic, Stefan'",Atlético Madrid
RCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,36
NON_PEN_XG,0.05,59
TOTAL_SHOTS,0.34,24
ASSISTS,0.00,28
XA,0.00,10
NON_PEN_XG+XA,0.05,37
SHOT_CREATIONS,0.34,19
PASSES_ATTEMPTED,51.28,47
PASS_COMPLETION_PERCENTAGE,85.8,42
PROGRESSIVE_PASSES,2.78,55
PROGRESSIVE CARRIES,3.62,76
DRIBBLES_COMPLETED,0.21,51
TOUCHES_IN_AREA,0.63,30
PROGRESSIVE_PASSES_RECIEVED,0.13,44
PRESSURES,8.15,40
TACKLES,1.61,61
INTERCEPTIONS,1.24,12
BLOCKS,1.45,28
CLEARANCES,4.39,32
AERIAL_DUELS_WON,2.88,64
