Carrasco,Yannick,Atlético Madrid
LB,AM,LM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.16,94
NON_PEN_XG,0.19,99
TOTAL_SHOTS,1.58,97
ASSISTS,0.36,99
XA,0.18,93
NON_PEN_XG+XA,0.37,99
SHOT_CREATIONS,3.16,96
PASSES_ATTEMPTED,41.21,9
PASS_COMPLETION_PERCENTAGE,74.8,30
PROGRESSIVE_PASSES,3.42,45
PROGRESSIVE CARRIES,8.97,98
DRIBBLES_COMPLETED,2.41,99
TOUCHES_IN_AREA,5.47,99
PROGRESSIVE_PASSES_RECIEVED,6.41,99
PRESSURES,12.50,48
TACKLES,1.22,7
INTERCEPTIONS,1.09,10
BLOCKS,1.19,4
CLEARANCES,0.60,1
AERIAL_DUELS_WON,0.26,1
