Correa,Ángel,Atlético Madrid
AM,RM,RW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.39,88
NON_PEN_XG,0.28,80
TOTAL_SHOTS,2.08,57
ASSISTS,0.21,60
XA,0.20,64
NON_PEN_XG+XA,0.48,73
SHOT_CREATIONS,2.89,36
PASSES_ATTEMPTED,33.88,28
PASS_COMPLETION_PERCENTAGE,76.8,54
PROGRESSIVE_PASSES,2.74,30
PROGRESSIVE CARRIES,4.54,17
DRIBBLES_COMPLETED,1.75,56
TOUCHES_IN_AREA,6.95,93
PROGRESSIVE_PASSES_RECIEVED,9.24,93
PRESSURES,19.62,77
TACKLES,1.66,70
INTERCEPTIONS,0.84,45
BLOCKS,1.17,51
CLEARANCES,0.51,47
AERIAL_DUELS_WON,0.39,22
