Busquets,Sergio,Barcelona
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.02,28
NON_PEN_XG,0.01,5
TOTAL_SHOTS,0.31,6
ASSISTS,0.12,75
XA,0.08,64
NON_PEN_XG+XA,0.10,30
SHOT_CREATIONS,2.20,66
PASSES_ATTEMPTED,88.73,98
PASS_COMPLETION_PERCENTAGE,90.3,95
PROGRESSIVE_PASSES,7.52,98
PROGRESSIVE CARRIES,4.91,74
DRIBBLES_COMPLETED,0.62,35
TOUCHES_IN_AREA,0.53,15
PROGRESSIVE_PASSES_RECIEVED,1.61,47
PRESSURES,19.50,62
TACKLES,2.73,77
INTERCEPTIONS,1.58,48
BLOCKS,1.41,38
CLEARANCES,1.10,27
AERIAL_DUELS_WON,1.39,59
